,Kingdom,Clade
I1902,2,1783270
I3142,2,1783272
I1772,2,1783272
I2583,2,1224
I2235,2,1783272
I3416,2,1783272
I1593,2,1783272
I1756,2,1783272
I3823,2,1783272
I1400,2,1783272
I1034,2,1224
I2527,2,1783272
I3338,2,1224
I4027,2,1224
I3647,2,1783270
I3191,2,1224
I4022,2,1224
I1479,2,1224
I1778,2,1224
I86,2,1224
I2109,2,1783272
I2597,2,1224
I1416,2,1783272
I3140,2,1783272
I3204,2,1783272
I1038,2,1224
I874,2,1224
I2338,2,1783272
I3882,2,1783272
I2518,2,1783272
I2624,2,1783272
I3328,2,1783272
I686,2,1783272
I880,2,1224
I3427,2,1783272
I978,2,1224
I2979,2,1783272
I3726,2,1224
I1058,2,1783270
I1780,2,1224
I1189,2,1224
I3131,2,1783272
I10,2,1224
I4015,2,1224
I3092,2,1783270
I1602,2,1783272
I1371,2,1783272
I1912,2,1783272
I2682,2,1783272
I1733,2,1783272
I2161,2,1783272
I2908,2,200918
I3193,2,1224
I2704,2,1783272
I3627,2,1783272
I1851,2,1783272
I84,2,1224
I2140,2,1783272
I2226,2,1783272
I2359,2,1783272
I1263,2,1783272
I2793,2,1224
I3845,2,1783272
I1862,2,1783270
I3875,2,1783272
I3852,2,1224
I2455,2,1783270
I355,2,1224
I3682,2,1783272
I3446,2,1783272
I3061,2,1783272
I380,2,1224
I2276,2,200940
I2093,2,200940
I2672,2,1783270
I3629,2,1783272
I1174,2,508458
I1633,2,1224
I4020,2,1224
I1520,2,1783272
I1894,2,200940
I2904,2,1783270
I1752,2,1783272
I761,2,1224
I3405,2,1783270
I1590,2,1783272
I1547,2,1783272
I1543,2,200938
I3718,2,1224
I2204,2,1783272
I3762,2,1783272
I1277,2,1783272
I3045,2,1783272
I3068,2,1783270
I3616,2,1783272
I1585,2,29547
I3183,2,1224
I1822,2,1783272
I2477,2,32066
I4041,2,1224
I666,2,1783272
I4023,2,1224
I183,2,1783272
I332,2,2138240
I308,2,1783270
I1430,2,1783272
I2377,2,1224
I1238,2,1783272
I76,2,1224
I2579,2,1224
I166,2,1224
I116,2,1224
I3377,2,1783272
I2219,2,1783272
I2113,2,1783272
I557,2,1224
I636,2,1224
I676,2,1224
I1280,2,29547
I1317,2,1783272
I2724,2,1783272
I1627,2,1224
I845,2,1783272
I1720,2,1783270
I1166,2,203691
I2665,2,1783270
I460,2,1224
I314,2,1783272
I1867,2,1783270
I3927,2,1783272
I866,2,1224
I1842,2,1783272
I3687,2,1783272
I2533,2,1783272
I1940,2,1783272
I2238,2,1783272
I3174,2,1224
I2400,2,1783272
I2789,2,1224
I712,2,1224
I2808,2,1224
I3178,2,1224
I3906,2,1224
I2906,2,200918
I1721,2,508458
I49,2,1224
I2539,2,1783272
I3121,2,1783272
I1272,2,1783270
I2991,2,1224
I3864,2,1224
I3591,2,1783272
I1850,2,1783272
I797,2,1224
I793,2,1224
I1624,2,1224
I1011,2,1224
I3241,2,1783270
I415,2,1224
I2590,2,1224
I1699,2,200938
I3600,2,1224
I189,2,1783257
I1816,2,1783272
I1468,2,1224
I2874,2,1783272
I970,2,1224
I3760,2,29547
I2469,2,200930
I2999,2,1224
I2389,2,1224
I2695,2,1783270
I62,2,1224
I523,2,1224
I2801,2,1224
I3236,2,1783270
I3322,2,1783272
I2538,2,1783272
I798,2,1224
I3817,2,1783272
I2519,2,1783272
I3640,2,1783272
I656,2,1224
I1610,2,1224
I1738,2,1783272
I1366,2,1783272
I1671,2,1783272
I1519,2,1783272
I3411,2,1783270
I3044,2,1783272
I2785,2,1783272
I946,2,1783272
I4010,2,1224
I933,2,1783257
I3651,2,1783270
I3610,2,1224
I1597,2,1783272
I2005,2,1783272
I2912,2,1783272
I2529,2,1783272
I3719,2,1224
I1226,2,1224
I3379,2,1783272
I235,2,1783257
I3027,2,1783272
I899,2,1224
I1507,2,49928
I1544,2,1783272
I597,2,1783272
I393,2,1783272
I890,2,1224
I1431,2,1783272
I1736,2,1783272
I2749,2,1783272
I3266,2,1783272
I3481,2,1224
I1123,2,1783272
I1796,2,1224
I1923,2,1783272
I207,2,1224
I2411,2,1783272
I2916,2,1783272
I4051,2,1224
I2962,2,1783272
I898,2,1224
I2716,2,1783272
I634,2,1224
I1418,2,1224
I1531,2,1783270
I283,2,1224
