Orthogroup	UP000321408	UP000324665	Total
OG0001324	1	1	2
OG0001325	1	1	2
OG0001326	1	1	2
OG0001327	1	1	2
OG0001328	1	1	2
OG0001329	0	2	2
OG0001330	0	2	2
OG0001331	0	2	2
OG0001332	0	2	2
OG0001333	0	2	2
OG0001334	0	2	2
OG0001335	0	2	2
OG0001336	0	2	2
OG0001337	0	2	2
OG0001338	0	2	2
OG0001339	0	2	2
OG0001340	0	2	2
OG0001341	0	2	2
OG0001342	0	2	2
OG0001343	0	2	2
OG0001344	0	2	2
OG0001345	0	2	2
OG0001346	0	2	2
OG0001347	0	2	2
OG0001348	0	2	2
OG0001349	0	2	2
OG0001350	0	2	2
OG0001351	0	2	2
OG0001352	0	2	2
OG0001353	0	2	2
OG0001354	0	2	2
OG0001355	0	2	2
OG0001356	0	2	2
OG0001357	0	2	2
OG0001358	0	2	2
OG0001359	0	2	2
OG0001360	0	2	2
OG0001361	0	2	2
OG0001362	0	2	2
OG0001363	0	2	2
OG0001364	0	2	2
OG0001365	0	2	2
OG0001366	0	2	2
OG0001367	0	2	2
OG0001368	0	2	2
OG0001369	0	2	2
OG0001370	0	2	2
OG0001371	0	2	2
OG0001372	0	2	2
OG0001373	0	2	2
OG0001374	0	2	2
OG0001375	0	2	2
OG0001376	0	2	2
OG0001377	0	2	2
OG0001378	0	2	2
OG0001379	0	2	2
OG0001380	0	2	2
OG0001381	0	2	2
OG0001382	0	2	2
OG0001383	0	2	2
OG0001384	0	2	2
OG0001385	0	2	2
OG0001386	0	2	2
OG0001387	0	2	2
OG0001388	0	2	2
OG0001389	0	2	2
OG0001390	0	2	2
OG0001391	0	2	2
OG0001392	0	2	2
OG0001393	0	2	2
OG0001394	0	2	2
OG0001395	0	2	2
OG0001396	0	2	2
OG0001397	0	2	2
OG0001398	0	2	2
OG0001399	0	2	2
OG0001400	0	2	2
OG0001401	0	2	2
OG0001402	0	2	2
OG0001403	0	2	2
OG0001404	0	2	2
OG0001405	0	2	2
OG0001406	0	2	2
OG0001407	0	2	2
OG0001408	0	2	2
OG0001409	0	2	2
OG0001410	0	2	2
OG0001411	0	2	2
OG0001412	0	2	2
OG0001413	0	2	2
OG0001414	0	2	2
OG0001415	0	2	2
OG0001416	0	2	2
OG0001417	0	2	2
OG0001418	0	2	2
OG0001419	0	2	2
OG0001420	0	2	2
OG0001421	0	2	2
OG0001422	0	2	2
OG0001423	0	2	2
OG0001424	0	2	2
OG0001425	0	2	2
OG0001426	0	2	2
OG0001427	0	2	2
OG0001428	0	2	2
OG0001429	0	2	2
OG0001430	0	2	2
OG0001431	0	2	2
OG0001432	0	2	2
