,Kingdom,Clade
I12,2,1783272
I8,2,200940
I18,2,1783272
I11,2,1224
I14,2,200940
I7,2,1783272
I21,2,1783272
I6,2,1783272
I10,2,1783272
I13,2,1783272
I9,2,1783272
I1,2,1783272
I4,2,1783272
I16,2,1783272
I17,2,200940
I20,2,1783272
I3,2,1783272
I2,2,1783272
I5,2,1783272
I19,2,1783272
I15,2,1783272
